0,2,2,0,2,2,0,0,0,0,0,0,0,400,10951,16598,
2,2,3,2,2,3,438,138,2,1,1,1,0,400,14023,18980,
3,4,4,3,4,4,642,204,18,0,0,0,0,400,13959,18978,
2,2,2,2,2,2,474,146,3,0,0,0,0,400,13881,18864,
19,24,26,19,24,26,2637,825,104,3,3,3,0,400,13917,18926,
36,45,46,28,39,45,4629,1491,200,4,1,0,0,400,13979,19000,
43,53,55,31,43,51,5559,1785,224,8,2,2,0,400,13956,18985,
36,44,45,28,38,45,4596,1458,226,2,1,1,0,400,13958,18998,
0,0,0,0,0,0,153,47,0,0,0,0,0,400,14143,19315,
0,0,1,0,0,1,228,74,2,1,0,0,0,400,14020,19236,
1,1,1,1,1,1,240,74,3,1,1,0,0,493,13817,19130,
0,0,0,0,0,0,210,66,3,0,0,0,0,590,13735,19075,
1,1,4,1,1,4,324,100,12,3,3,3,0,400,13971,19099,
1,1,1,1,1,1,282,75,2,0,0,0,85,700,13660,18753,
0,0,0,0,0,0,141,42,1,0,0,0,54,598,13738,18819,
1,1,1,1,1,1,447,109,4,0,0,0,45,556,13767,18822,
1,1,1,1,1,1,255,69,9,0,0,0,149,1375,13354,18664,
1,1,1,1,1,1,450,120,1,0,0,0,260,2222,13091,18499,
2,2,2,2,2,2,582,158,1,0,0,0,0,400,13148,18532,
3,3,3,3,3,3,480,154,10,0,0,0,0,400,13071,18468,
3,3,3,3,3,3,624,200,11,0,0,0,37,504,12993,18418,
4,4,4,4,4,4,813,253,4,0,0,0,0,400,13069,18424,
5,5,6,5,5,6,921,269,17,1,1,1,0,400,13255,18486,
6,7,8,6,7,8,1053,333,21,1,0,0,0,400,13199,18476,
9,10,10,9,10,10,1284,417,23,0,0,0,0,400,13131,18440,
7,7,8,7,7,8,1050,298,32,1,1,0,0,400,13202,18499,
8,10,11,8,10,11,1233,354,53,1,1,1,0,400,13112,18473,
7,8,8,7,8,8,1164,360,29,1,0,0,0,400,13243,18543,
6,7,7,6,7,7,987,324,30,0,0,0,0,400,13338,18580,
1,1,2,1,1,2,408,124,6,2,1,1,0,400,13921,19036,
307,993,1443,204,661,961,59589,19677,11519,3240,1064,859,285,779,13630,18617,
104,184,229,68,122,152,14469,4666,1210,178,52,38,305,824,13590,18595,
285,529,688,189,352,458,41739,13619,4383,745,254,198,327,1060,13492,18579,
189,324,420,125,215,279,26559,8584,2279,351,122,106,229,729,13661,18672,
165,281,341,109,186,226,22836,7398,1892,257,78,50,213,967,13537,18704,
92,154,182,61,102,121,12303,3973,937,130,31,23,189,765,13641,18750,
67,110,125,44,73,83,8901,2861,652,72,18,12,130,726,13664,18837,
50,76,94,46,70,92,0,0,0,0,0,0,0,400,11648,17452,
50,79,91,34,53,69,6855,2159,447,46,11,8,0,400,13706,18912,
32,48,56,27,40,52,4206,1344,274,26,7,6,90,668,13504,18778,
67,108,124,44,71,82,8697,2769,674,55,18,15,181,707,13479,18633,
67,102,112,44,67,77,8796,2784,605,51,8,8,247,821,13388,18545,
58,91,94,38,60,70,7749,2467,515,37,4,2,0,400,13327,18488,
39,58,68,30,45,58,4965,1598,355,35,11,6,0,400,13203,18438,
33,54,60,27,43,54,4476,1454,329,35,7,3,0,400,13116,18399,
30,42,47,26,37,46,4035,1278,251,11,6,4,0,400,13129,18385,
23,33,42,22,32,42,3177,1014,172,13,11,7,0,400,13159,18371,
30,47,52,26,40,49,3957,1296,244,27,6,4,9,400,13217,18357,
20,33,38,19,31,38,3009,963,180,12,5,5,0,400,13257,18368,
18,25,27,18,25,27,2427,766,162,5,2,2,4,400,13257,18349,
242,508,665,161,338,443,36861,12039,4569,810,265,197,97,400,13196,18221,
22,34,39,21,32,39,3021,957,204,13,5,4,0,400,13327,18380,
28,39,42,24,35,42,3681,1201,202,13,3,2,0,400,13352,18388,
23,39,49,22,35,47,3087,959,260,32,9,7,0,400,13354,18390,
53,95,110,34,62,76,7560,2452,625,81,14,13,0,400,13329,18340,
22,28,32,21,28,32,2967,956,144,6,4,3,78,699,13093,18220,
283,464,520,188,308,346,39900,13036,3698,360,79,67,131,785,13041,18128,
40,66,84,40,64,84,0,0,0,0,0,0,0,400,10279,16519,
21,32,34,20,31,34,2892,935,180,11,3,3,0,400,13273,18328,
19,26,30,19,26,30,2637,818,136,9,5,4,0,400,13262,18291,
26,37,40,23,34,40,3576,1128,210,10,5,1,0,400,13281,18296,
89,147,164,59,97,109,11586,3785,919,94,20,16,0,400,13330,18233,
63,90,107,41,59,75,8058,2662,454,54,18,15,0,400,13433,18354,
59,102,121,39,67,80,8211,2625,591,88,18,14,0,422,13308,18261,
103,159,190,68,105,126,13446,4373,922,116,34,28,49,563,13203,18147,
59,92,111,39,61,77,7902,2563,521,58,22,16,0,400,13234,18175,
44,73,86,32,51,67,6207,1928,398,58,13,12,0,400,13341,18279,
34,55,65,28,44,57,4464,1442,294,41,12,9,0,400,13337,18260,
102,166,191,67,110,127,13758,4446,989,110,29,17,0,400,13318,18245,
93,153,191,61,101,127,12579,3958,904,130,48,34,38,502,13234,18186,
74,118,132,49,78,87,10194,3259,724,42,17,10,0,400,13340,18251,
56,82,93,36,54,69,7704,2414,484,33,11,9,0,400,13306,18226,
62,91,97,41,60,72,7917,2575,474,42,5,5,0,400,13324,18243,
129,206,231,85,136,153,16641,5468,1185,134,33,23,0,400,13370,18280,
56,94,117,36,62,78,7500,2464,607,80,24,18,0,400,13441,18356,
67,118,144,44,78,95,9180,3023,758,92,31,19,0,400,13497,18376,
41,67,79,31,48,63,5622,1775,376,53,11,9,0,400,13476,18412,
56,91,100,37,60,73,7572,2469,513,58,8,7,0,400,13375,18351,
55,82,98,36,54,72,7164,2342,449,57,17,12,0,400,13185,18244,
40,69,73,30,49,61,5643,1852,432,30,4,3,0,400,13256,18244,
52,79,83,35,53,66,6840,2226,429,33,5,5,0,400,13308,18311,
92,151,181,61,100,120,12900,4100,931,134,33,24,0,419,13303,18315,
89,153,207,59,101,137,12228,3944,985,174,62,47,0,400,13395,18369,
71,119,140,47,79,93,9519,3079,696,102,21,16,0,400,13400,18395,
55,87,92,36,57,69,7329,2360,462,48,6,6,0,400,13445,18389,
76,120,134,50,79,89,10203,3231,696,63,15,12,0,400,13375,18377,
69,115,128,45,76,85,9357,3011,618,89,13,9,0,400,13354,18364,
71,112,121,46,74,80,9540,3051,651,56,10,9,0,400,13328,18358,
82,138,161,54,91,106,11418,3628,844,104,29,18,0,400,13367,18382,
97,168,202,64,111,134,13506,4295,1053,150,44,29,0,400,13386,18396,
76,122,139,50,81,92,10140,3301,739,74,17,15,0,400,13340,18346,
84,127,141,55,84,93,11112,3606,719,66,14,8,0,400,13231,18281,
81,127,147,53,84,97,10833,3527,761,78,22,18,0,400,13219,18270,
98,155,185,65,103,123,12939,4181,919,106,35,25,0,400,13222,18270,
102,169,200,67,112,133,13674,4443,1083,124,36,27,0,400,13379,18355,
180,331,398,119,220,264,25029,8186,2366,333,90,68,0,400,13403,18385,
76,129,146,50,85,97,10416,3353,732,90,20,15,24,506,13296,18332,
81,130,146,53,86,97,10887,3473,784,66,19,16,0,400,12939,18065,
104,178,223,69,118,148,14487,4569,1096,172,56,38,0,400,13129,18171,
103,168,198,68,111,131,13815,4491,1064,116,37,18,0,400,13105,18168,
93,164,206,61,109,137,12663,4104,1046,156,44,34,0,400,13158,18185,
